"","from","Augur","Digix","Golem"
"216",3.84600145477251e+46,0,2,0
"217",3.86817765945773e+46,5,0,2
"218",3.87132354965565e+46,1,0,0
"219",3.92230304762655e+46,0,1,0
"220",3.92844548921927e+46,0,0,1
"221",3.95836349996258e+46,1,0,0
"222",4.04664282188419e+46,3,0,0
"223",4.0540832893404e+46,0,2,0
"224",4.07549697548279e+46,1,0,0
"225",4.11423531969862e+46,0,0,2
"226",4.13222255785582e+46,0,0,5
"227",4.1725834957561e+46,4,0,0
"228",4.20744172033262e+46,1,0,0
"229",4.21192853520871e+46,0,0,14
"230",4.22973727896286e+46,0,1,0
"231",4.30751488714434e+46,0,1,0
"232",4.30842239822189e+46,0,0,1
"233",4.31152103314249e+46,0,0,3
"234",4.32646135958029e+46,0,0,1
"235",4.33491307405998e+46,0,0,3
"236",4.34384682761745e+46,1,0,0
"237",4.42907981514594e+46,0,5,0
"238",4.4588639602013e+46,0,0,1
"239",4.48632562636373e+46,1,0,0
"240",4.48830642096711e+46,0,1,0
"241",4.53899872202211e+46,0,0,1
"242",4.57004775212044e+46,0,0,1
"243",4.59501441658458e+46,2,0,0
"244",4.66113393311479e+46,0,3,0
"245",4.66918456725073e+46,1,0,0
"246",4.67166291620315e+46,0,0,1
"247",4.67876215976976e+46,0,1,0
"248",4.68040129358163e+46,0,1,1
"249",4.70893951436199e+46,1,0,0
"250",4.71751379634244e+46,0,0,2
"251",4.72553953091967e+46,0,0,6
"252",4.74096574156558e+46,0,0,1
"253",4.78954802721688e+46,0,0,1
"254",4.83278646997457e+46,0,1,0
"255",4.8744288645951e+46,0,0,5
"256",4.88910299967087e+46,0,0,1
"257",4.90098057110245e+46,0,3,0
"258",4.95998710988378e+46,0,1,0
"259",5.03182545286066e+46,5,0,0
"260",5.04030379438873e+46,1,0,0
"261",5.06156810239887e+46,0,1,0
"262",5.06860982686245e+46,0,0,6
"263",5.07358935826307e+46,0,1,0
"264",5.09034451404981e+46,35,0,0
"265",5.15963976472499e+46,0,1,0
"266",5.20728423948177e+46,0,0,4
"267",5.2225909222155e+46,0,0,1
"268",5.2500366359028e+46,0,0,4
"269",5.2736170968586e+46,0,1,0
"270",5.31747497562003e+46,0,2,0
"271",5.37952705251034e+46,0,2,0
"272",5.40487520684492e+46,0,0,1
"273",5.40537736974729e+46,0,0,7
"274",5.42937215932585e+46,4,0,0
"275",5.44122957035873e+46,0,0,2
"276",5.53492027529803e+46,0,1,0
"277",5.53558704243012e+46,1,0,0
"278",5.53746199053318e+46,0,0,2
"279",5.54309000234201e+46,2,0,0
