,Augur,ICONOMI,Golem,Digix,Pluton (Plutus),SingularDTV,First Blood,VSice (VDlice),Hacker Gold (Ether.camp),Maker DAO,Chrono Bank,Unicorns (Ethereum Fundation),Xaurum,Acade City,Swarm City,Bitpark Coin,Round
0x00457c77346128b70a3237fe2c9e5ed4fbe0803d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0046e973eea84f3106918e1c42781907862db51e,0,0,0,0,0,0,0,0,0,0,0,0,13971570000000,0,0,0,0
0x0048a9453b9a2746d544378cb35510d0e8486ab3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x004928dc427b4d61f7dfb2f6dc5028d79a6675f1,102252176370000000000,5769325580841393820331,0,25223236720,0,43588,0,2000700000000000000000,0,1010137790462330125,0,0,0,0,500490000000000000000,0,0
0x004a89fb8b497b713f6fe53897a966b12e05b2a6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x004c9225c11f331b0aac91f7fde1b7926317b865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x004d08991f344cc89352b245483899171bd2f5d0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x004d0d34350eb7b28c85ef70e75da518a1f1feb9,0,0,0,0,0,0,0,0,0,0,0,0,3000000,0,0,0,0
0x004d526281277300de6b747ddcffc53ff1a359eb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x004d6aa7b3f37249abfdc2932e44e5cf6b79c932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x004f380364c1f65999de44a5524f0e6add9f8e06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0051f6a4c9350235a91b4ae2ca40d14bdbcbfc40,0,0,0,0,0,0,0,0,0,0,0,0,850000000,0,0,0,0
0x00524bfbf1cf7c1ae43c986c9d42d284f44081e3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0054bd55a33e06fd506672f1627a1c1cb8e2f76b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0054ee21332017c772a9dcb68cc6e120b305c9ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0057eb980639189b239fb353b15b3532f1e6094c,0,0,0,0,0,0,0,0,0,0,0,0,0,8250000000000000000000,0,0,0
0x00582948eec1d5c01d0de7b09732157fc8df4da6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x005aba9306cfe2e8c39c7eb1d1719d1d1f941618,0,0,0,0,0,0,0,0,0,803965074051883912236,0,0,0,0,0,0,0
0x005e648b32ffcd3b0f60c9252d7cf7a0196aab3b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x006735945070fd7ced7622fa910f06c27c8d3c4d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0067b4aa05be20ec4eacd6741f340563232488d2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x006808b26bef152c0053fce12219493084b037ea,0,0,0,0,0,0,0,0,0,0,0,0,50000000,0,0,0,0
0x00694e88e356554de777667972ff915c5e29f166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x006b25a7c3d738fef719a2cbcebe088eba405443,0,200000000000000000,999999999999900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x006bf8fffa0e1b3cd01aa319634c7c5d5aee2390,1000000000000000000,1465143110091645334,3737855551820728200000,500000000,0,10,0,130000000000000000000,150000,0,0,0,950000000,75000000000000000000,0,0,0
0x006e464d9d587862074f67efc3a8446a46486f1e,250066339178650000000,0,70000000000000000000000,104430335790,0,0,0,0,0,978000000000000000,0,0,0,0,0,0,0
0x006ee0953c7bb75ca6de27f58b5512390b1c4d6a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x006fd489a4fb492bc21d847d5bb966e7fa38d328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x007174732705604bbbf77038332dc52fd5a5000c,0,0,0,135290729000,0,0,0,0,0,55476203559984373334,0,0,0,0,0,0,0
0x0071d48f86eeb80784fd7210dd1337e8b41da028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00735098ed36ea0e26faf3706910f8286526db97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0073ebaa408f7483817b99f482796b5633d5e4f8,0,0,0,0,0,0,0,1323541714336218000000,0,0,0,0,0,830000000000000000000,0,0,0
0x0073ecd151f1c89898759982a10f60ac3213785c,118702366545503350000,8370333500000000000000,50000000000000000000000,8908513110,0,43099,30000000000000000000,0,1000000,6803500000000000000,0,1,0,0,0,0,0
